역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
452,초지역,k0302,안산선,Choji,草 芝,일반역,,,37.320583,126.806151,한국철도공사,경기도 안산시 단원구 중앙대로 620,1544-7788,2020-12-31
453,안산역,k0302,안산선,Ansan,安 山,일반역,,,37.327006,126.788748,한국철도공사,경기도 안산시 단원구 중앙대로 462,1544-7788,2020-12-31
454,신길온천역,k0302,안산선,Singiloncheon,新 吉溫 泉,일반역,,,37.337488,126.767306,한국철도공사,경기도 안산시 단원구 황고개로 2,1544-7788,2020-12-31
455,정왕역,k0302,안산선,Jeongwang,正 往,일반역,,,37.351816,126.742844,한국철도공사,경기도 시흥시 마유로 418길 15,1544-7788,2020-12-31
456,오이도역,k0302,안산선,Oido,烏耳島,환승역,k0302+k2015,안산/수인,37.361773,126.738437,한국철도공사,경기도 시흥시 역전로 430,1544-7788,2020-12-31
246,고색,K2015,수인선,Gosaek,古索,일반역,,,37.248829,126.977899,한국철도공사,경기도 수원시 권선구 매송고색로 지하690(고색동),1544-7788,2020-12-31
247,오목천,K2015,수인선,Omokcheon,梧木川,일반역,,,37.243011,126.9636354,한국철도공사,경기도 수원시 권선구 삼천병마로 1576(오목천동),1544-7788,2020-12-31
248,어천,K2015,수인선,Eocheon,漁川,일반역,,,37.250076,126.908805,한국철도공사,경기도 화성시 매송면 화성로 2227-5(어천리),1544-7788,2020-12-31
249,야목,K2015,수인선,Yamok,野牧,일반역,,,37.261011,126.88429,한국철도공사,경기도 화성시 매송면 본오매송로 286(야목리),1544-7788,2020-12-31
250,사리,K2015,수인선,Sari,四理,일반역,,,37.289982,126.856872,한국철도공사,경기도 안산시 상록구 충장로 93(사동),1544-7788,2020-12-31
251,한대앞,K2015,수인선,Hangyang Univ. at Ansan,漢大앞,환승역,K2015,수인/4,37.309685,126.853656,한국철도공사,경기도 안산시 상록구 충장로 337,1544-7788,2020-12-31
252,중앙,K2015,수인선,Jungang,中央,환승역,K2015,수인/4,37.316055,126.838532,한국철도공사,경기도 안산시 단원구 중앙대로 918,1544-7788,2020-12-31
253,고잔,K2015,수인선,Gojan,古棧,환승역,K2015,수인/4,37.316821,126.823094,한국철도공사,경기도 안산시 상록구 충장로 337,1544-7788,2020-12-31
254,초지,K2015,수인선,Choji,草芝,환승역,K2015,수인/4,37.320583,126.806151,한국철도공사,경기도 안산시 단원구 중앙대로 784,1544-7788,2020-12-31
255,안산,K2015,수인선,Ansan,安山,환승역,K2015,수인/4,37.327006,126.788748,한국철도공사,경기도 안산시 단원구 중앙대로 620,1544-7788,2020-12-31
256,신길온천,K2015,수인선,Singiloncheon,新吉溫泉,환승역,K2015,수인/4,37.337488,126.767306,한국철도공사,경기도 안산시 단원구 중앙대로 462,1544-7788,2020-12-31
257,정왕,K2015,수인선,Jeongwang,正往(韓國産業技術大),환승역,K2015,수인/4,37.351816,126.742844,한국철도공사,경기도 안산시 단원구 황고개로 2,1544-7788,2020-12-31
258,오이도,K2015,수인선,Oido,烏耳島,환승역,K2015,수인/4,37.361773,126.738437,한국철도공사,경기도 시흥시 역전로 430,1544-7788,2020-12-31
259,달월역,K2015,수인선,Darwol,達月,일반역,,,37.379993,126.745431,한국철도공사,경기도 시흥시 서해안로 736번길 55(월곶동),1544-7788,2020-12-31
260,월곶역,K2015,수인선,Wolgot,月串,일반역,,,37.39189,126.742741,한국철도공사,경기도 시흥시 월곶 중앙로 14번길,1544-7788,2020-12-31
261,소래포구역,K2015,수인선,Soraepogu,蘇來浦口,일반역,,,37.400963,126.733533,한국철도공사,인천시 남동구 소래역로 51,1544-7788,2020-12-31
262,인천논현역,K2015,수인선,Incheon Nonhyeon,仁川論峴,일반역,,,37.400641,126.722495,한국철도공사,인천시 남동구 청능대로 567,1544-7788,2020-12-31
263,호구포역,K2015,수인선,Hogupo,虎口浦,일반역,,,37.401622,126.708682,한국철도공사,인천시 남동구 호구포로 205,1544-7788,2020-12-31
264,남동인더스파크역,K2015,수인선,Namdong Induspark,,일반역,,,37.407868,126.695613,한국철도공사,인천광역시 남동구 고잔동 970-14,1544-7788,2020-12-31
265,원인재역,K2015,수인선,Woninjae,源仁齋,환승역,K2015,수인/인천1,37.412921,126.686952,한국철도공사,인천시 연수구 벚꽃로 195,1544-7788,2020-12-31
